Ejercicio|Sociedad|Fecha de documento SAP|CAR SUNAT SAP|CAR SUNAT Archivo|Mensaje|
2026|1007|02.06.2026|2053799558103B8070000025173|2053799558103B8070000025173|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025174|2053799558103B8070000025174|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025175|2053799558103B8070000025175|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025176|2053799558103B8070000025176|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025177|2053799558103B8070000025177|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010156|2053799558103B8050000010156| Diferencia en monto PEN - 3.19 con respecto al archivo.|
2026|1007|02.06.2026|2053799558103B8070000025178|2053799558103B8070000025178|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010157|2053799558103B8050000010157|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025179|2053799558103B8070000025179|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025180|2053799558103B8070000025180|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010158|2053799558103B8050000010158|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025181|2053799558103B8070000025181|Registro OK.|
